Area,Pop_Change,Births,Deaths,Natural_Increase,Total_InMig,Total_OutMig,Total_NetMig,CB_InMig,CB_OutMig,CB_NetMig,Int_InMig,Int_OutMig,Int_NetMig,Year,Level,Birth_Death_Ratio,Migration_Share,CB_Share,Growth_Class
Koko Helsinki,-386.0,6299.0,5163.0,1136.0,120168.0,121709.0,-1541.0,30960.0,32501.0,-1541.0,89208.0,89208.0,0.0,2003,city,1.2200271160175826,0.5756443780348989,-0.9999999999993511,Moderate Decline
1 Eteläinen suurpiiri,-541.0,1034.0,763.0,271.0,23387.0,23926.0,-539.0,6834.0,6354.0,480.0,16553.0,17572.0,-1019.0,2003,major_district,1.3551769331568084,0.6654320987646106,0.8905380333935241,Strong Decline
101 Vironniemi,-102.0,110.0,84.0,26.0,2451.0,2543.0,-92.0,723.0,624.0,99.0,1728.0,1919.0,-191.0,2003,sub_area,1.30952380950822,0.7796610169425452,1.0760869565100424,Moderate Decline
010 Kruununhaka,-68.0,69.0,51.0,18.0,1594.0,1667.0,-73.0,465.0,401.0,64.0,1129.0,1266.0,-137.0,2003,sub_area,1.35294117644406,0.8021978021889868,0.8767123287551135,Slight Decline
020 Kluuvi,-2.0,1.0,1.0,0.0,121.0,124.0,-3.0,49.0,46.0,3.0,72.0,78.0,-6.0,2003,sub_area,0.9999999989999999,0.9999999996666666,0.9999999996666666,Slight Decline
080 Katajanokka,-32.0,40.0,32.0,8.0,736.0,752.0,-16.0,209.0,177.0,32.0,527.0,575.0,-48.0,2003,sub_area,1.2499999999609377,0.6666666666388888,1.999999999875,Slight Decline
102 Ullanlinna,62.0,243.0,169.0,74.0,5960.0,5919.0,41.0,1622.0,1450.0,172.0,4338.0,4469.0,-131.0,2003,sub_area,1.437869822476699,0.3565217391273346,4.195121951117192,Slight Growth
030 Kaartinkaupunki,6.0,7.0,3.0,4.0,238.0,240.0,-2.0,76.0,65.0,11.0,162.0,175.0,-13.0,2003,sub_area,2.3333333325555556,0.33333333327777775,5.49999999725,Slight Growth
050 Punavuori,15.0,77.0,56.0,21.0,2442.0,2410.0,32.0,651.0,577.0,74.0,1791.0,1833.0,-42.0,2003,sub_area,1.3749999999754465,0.6037735848942685,2.3124999999277347,Slight Growth
060 Eira,-10.0,15.0,8.0,7.0,215.0,228.0,-13.0,44.0,50.0,-6.0,171.0,178.0,-7.0,2003,sub_area,1.874999999765625,0.6499999999675,-0.4615384615029586,Slight Decline
070 Ullanlinna,26.0,112.0,84.0,28.0,2518.0,2509.0,9.0,718.0,632.0,86.0,1800.0,1877.0,-77.0,2003,sub_area,1.3333333333174602,0.24324324323666913,9.555555554493827,Slight Growth
090 Kaivopuisto,19.0,5.0,3.0,2.0,79.0,62.0,17.0,18.0,14.0,4.0,61.0,48.0,13.0,2003,sub_area,1.6666666661111111,0.8947368420581717,0.235294117633218,Slight Growth
204 Munkkisaari,-8.0,7.0,10.0,-3.0,265.0,268.0,-3.0,80.0,73.0,7.0,185.0,195.0,-10.0,2003,sub_area,0.69999999993,0.49999999991666666,2.3333333325555556,Slight Decline
520 Suomenlinna,14.0,20.0,5.0,15.0,203.0,202.0,1.0,35.0,39.0,-4.0,168.0,163.0,5.0,2003,sub_area,3.9999999992,0.06249999999609375,-3.9999999959999997,Slight Growth
103 Kampinmalmi,-284.0,307.0,216.0,91.0,7381.0,7665.0,-284.0,2124.0,1990.0,134.0,5257.0,5675.0,-418.0,2003,sub_area,1.4212962962897162,0.7573333333313138,0.4718309859138316,Moderate Decline
040 Kamppi,-6.0,90.0,79.0,11.0,2875.0,2856.0,19.0,877.0,748.0,129.0,1998.0,2108.0,-110.0,2003,sub_area,1.139240506314693,0.6333333333122222,6.789473683853186,Slight Decline
130 Etu-Töölö,-264.0,131.0,113.0,18.0,3339.0,3586.0,-247.0,995.0,956.0,39.0,2344.0,2630.0,-286.0,2003,sub_area,1.1592920353879708,0.9320754716945959,0.15789473684146602,Moderate Decline
201 Ruoholahti,-2.0,50.0,11.0,39.0,697.0,730.0,-33.0,156.0,182.0,-26.0,541.0,548.0,-7.0,2003,sub_area,4.545454545041323,0.4583333333269676,-0.7878787878549128,Slight Decline
203 Jätkäsaari,-10.0,36.0,13.0,23.0,469.0,489.0,-20.0,95.0,104.0,-9.0,374.0,385.0,-11.0,2003,sub_area,2.7692307690177516,0.4651162790589508,-0.4499999999775,Slight Decline
104 Taka-Töölö,-330.0,140.0,140.0,0.0,3613.0,3870.0,-257.0,1112.0,957.0,155.0,2501.0,2913.0,-412.0,2003,sub_area,0.9999999999928573,0.999999999996109,0.6031128404645794,Moderate Decline
140 Taka-Töölö,-330.0,140.0,140.0,0.0,3613.0,3870.0,-257.0,1112.0,957.0,155.0,2501.0,2913.0,-412.0,2003,sub_area,0.9999999999928573,0.999999999996109,0.6031128404645794,Moderate Decline
105 Lauttasaari,113.0,234.0,154.0,80.0,3982.0,3929.0,53.0,1253.0,1333.0,-80.0,2729.0,2596.0,133.0,2003,sub_area,1.5194805194706529,0.3984962405985076,-1.5094339622356712,Moderate Growth
310 Lauttasaari,113.0,234.0,154.0,80.0,3982.0,3929.0,53.0,1253.0,1333.0,-80.0,2729.0,2596.0,133.0,2003,sub_area,1.5194805194706529,0.3984962405985076,-1.5094339622356712,Moderate Growth
2 Läntinen suurpiiri,-494.0,1159.0,863.0,296.0,21676.0,22165.0,-489.0,6701.0,7086.0,-385.0,14975.0,15079.0,-104.0,2003,major_district,1.3429895712614797,0.622929936304939,-0.787321063393073,Moderate Decline
201 Reijola,-234.0,195.0,137.0,58.0,3556.0,3783.0,-227.0,1042.0,1037.0,5.0,2514.0,2746.0,-232.0,2003,sub_area,1.4233576642231873,0.7964912280673807,0.02202643171796464,Moderate Decline
150 Meilahti,-66.0,92.0,47.0,45.0,1627.0,1716.0,-89.0,537.0,451.0,86.0,1090.0,1265.0,-175.0,2003,sub_area,1.9574468084689907,0.6641791044726554,0.9662921348206034,Slight Decline
160 Ruskeasuo,-116.0,89.0,68.0,21.0,1499.0,1623.0,-124.0,377.0,465.0,-88.0,1122.0,1158.0,-36.0,2003,sub_area,1.3088235293925172,0.8551724137872058,-0.7096774193491154,Moderate Decline
180 Laakso,-52.0,14.0,22.0,-8.0,430.0,444.0,-14.0,128.0,121.0,7.0,302.0,323.0,-21.0,2003,sub_area,0.6363636363347107,0.6363636363347107,0.49999999996428574,Slight Decline
202 Munkkiniemi,-133.0,179.0,202.0,-23.0,3336.0,3403.0,-67.0,1049.0,1049.0,0.0,2287.0,2354.0,-67.0,2003,sub_area,0.8861386138569993,0.7444444444361729,0.0,Moderate Decline
